videoID,channelID,day,views
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,44
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,37
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,46
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,44
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,34
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,57
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,50
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,41
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,40
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,43
4zdwo7ZvhMk,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,45
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,74
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,94
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,77
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,85
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,88
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,80
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,84
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,56
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,101
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,93
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,85
U07TiwmjekM,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,74
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,20
DOyCuhb7xa0,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,20
