channelID,channelName,title,videoIDs,video_description,publishedDate,likes,views,comment,video_length,length_in_seconds,thumbnail
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Relaunch Sneak Peak,jpMb4kdYJoM,"Just know that NGL is busy in The Garage right now grinding for our official Unplugg'd Relaunch on Sunday, 4/26 at 8pm EST!

Well, he's not physically in The Garage. He's in Connecticut right now. It's more of a mindset kind of thing, ya know? You spend enough time in The Garage, and it starts to seep into your brain and become a state of being.

Anyway, we're getting ahead of ourselves. See you Sunday!",2020-04-23T23:57:00Z,0,41,0,00:02:33,153,https://i.ytimg.com/vi/jpMb4kdYJoM/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,"Justin Jackson -- ""What Being Unplugg'd Means To Me...""",jwDLa7CxvbY,"Former Northwestern superstar running back and current L.A. Chargers Justin Jackson weighs in on our question, ""What does Being Unplugg'd Mean to You?""",2020-04-23T00:07:02Z,0,13,0,00:00:22,22,https://i.ytimg.com/vi/jwDLa7CxvbY/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Religion 170 Midterm,BgHGpjeyPKc,"I watched the documentary ""The Prosperity Gospel"" and presented on how Pentecostalism is swaying people through sermons on wealth and the meaning of jobs in our day-to-day life.",2019-11-05T17:18:43Z,0,5,0,00:07:07,427,https://i.ytimg.com/vi/BgHGpjeyPKc/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Powder Blue Media Live Stream,twsajQ0wZ7g,,2019-10-22T14:11:15Z,0,0,0,00:00:30,30,https://i.ytimg.com/vi/twsajQ0wZ7g/hqdefault_live.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Scoots,kqSQ6L9ias0,,2019-10-22T14:10:24Z,0,0,0,00:00:30,30,https://i9.ytimg.com/vi/kqSQ6L9ias0/hqdefault_live.jpg?sqp=CLSU0JAG&rs=AOn4CLByru7w3-2gCaV-hrs8i3gDqNgdMQ
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Scoots,pvcGNbNHLYU,,2019-10-22T14:08:31Z,0,0,0,00:00:14,14,https://i9.ytimg.com/vi/pvcGNbNHLYU/hqdefault.jpg?sqp=CLSU0JAG&rs=AOn4CLCP-YqwlgcdcSe71LKT9N9lTNZctg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Unplugg'd: Change Through Dialogue,2Timjl1nUeU,"We believe that when given the opportunity, passionate young people create incredible things in their own, unique way. Help us facilitate real change and join the movement by logging on at beunpluggd.com.

This video was filmed live at The Garage's Demo Day in The Garage at Northwestern.",2019-09-03T00:19:45Z,3,265,0,00:06:09,369,https://i.ytimg.com/vi/2Timjl1nUeU/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Audience Demo Day Vid,yJOswgKPgDw,,2019-08-28T22:01:08Z,0,2,0,00:06:36,396,https://i.ytimg.com/vi/yJOswgKPgDw/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Demo Day Morning Pitch,LocmVsn8uk0,,2019-08-28T13:38:01Z,0,9,0,00:06:36,396,https://i.ytimg.com/vi/LocmVsn8uk0/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Final Demo Day Pitch,JEwtAwsCIcA,Our final pitch for Wildfire's Demo Day!,2019-08-25T20:10:50Z,0,9,0,00:06:31,391,https://i.ytimg.com/vi/JEwtAwsCIcA/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Unplugg'd: Enacting Change Through Dialogue,A3D9Us5rWC8,"We believe that when given the opportunity, passionate young people create incredible things in their own, unique way. Help us facilitate real change and join the movement by logging on at beunpluggd.com/joinus.",2019-08-25T19:58:05Z,0,17,0,00:06:31,391,https://i.ytimg.com/vi/A3D9Us5rWC8/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,"""The Pitch"" -- #1",lHLQzvQiQjk,,2019-08-24T02:36:01Z,0,4,0,00:05:54,354,https://i.ytimg.com/vi/lHLQzvQiQjk/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,first half pitch rd,vXQO4MXtrH8,,2019-08-22T07:55:25Z,0,22,0,00:03:09,189,https://i.ytimg.com/vi/vXQO4MXtrH8/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,"Chest Up, Core Tight, Do It!",XnDIBa_b2Qo,"On Episode 3 of 'Whistles,' the crew welcomes on strength and conditioning coaches Alex Spanos and Matt Flannery to set the record straight on Spanos' smedium shirts and talk about what gets the pair juiced every morning.

You can subscribe to the 'Whistles' podcast on all your favorite streaming platforms here: https://anchor.fm/whistlespodcast",2019-08-08T14:58:59Z,0,18,0,00:00:22,22,https://i.ytimg.com/vi/XnDIBa_b2Qo/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Birkenstock King Jake = Trendsetter?,X0ItOiF3Cr8,"On the first episode of 'Whistles,' co-host Jake Saunders talks about how he's a #influencer in getting the entire Northwestern football team to start rocking birks. His words, not ours.

You can subscribe to the 'Whistles' podcast on all your favorite streaming platforms here: https://anchor.fm/whistlespodcast",2019-08-08T14:51:59Z,0,13,0,00:00:49,49,https://i.ytimg.com/vi/X0ItOiF3Cr8/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Peapod Founders on the Time They Hit a Deer,jSbvAVaRIRc,"On Episode 30 of 'The G-L Review,' NGL welcomes on Thomas and Andrew Parkinson to talk about some of their favorite stories from the early days of Peapod.

Subscribe to get the latest episodes of the podcast on all your favorite streaming platforms: https://unpluggdwithngl.com/the-g-l-review-ep-30-andrew-and-thomas-parkinson-on-building-peapod-and-the-time-they-hit-a-deer-8bda23440362",2019-08-08T14:45:59Z,0,20,0,00:01:58,118,https://i.ytimg.com/vi/jSbvAVaRIRc/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,This Is Unplugg'd.,TwBJ7Rcm_RM,"When you're up late at night working, desperate times leads to half-baked measures.",2019-07-24T23:41:52Z,0,23,0,00:00:25,25,https://i.ytimg.com/vi/TwBJ7Rcm_RM/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Hot Takes Bot!,0thpAPSOcj8,...but what if?,2019-05-24T19:32:23Z,2,27,0,00:01:03,63,https://i.ytimg.com/vi/0thpAPSOcj8/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,GLR25 w jake,NDMSQLM4kwY,,2019-05-22T05:11:15Z,0,1,0,00:38:20,2300,https://i9.ytimg.com/vi/NDMSQLM4kwY/hqdefault.jpg?sqp=CLSU0JAG&rs=AOn4CLBWd0zr4CuvF1lmrjqS3OBAIw9erg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Chess Is A Sport: The Hot Takes Show Ep. 2,hkL3-uFwQ6c,"We're baaaaaccckkkk! 'The Hot Takes Show' returns with host Andrew Fenichel to determine the best hot take artist around. On this episode, Ben Curwin argues why the letter 'c' should be taken out of the alphabet, while Peter Warren makes the case for chess as a sport.

Created by Nathan Graber-Lipperman and Andrew Fenichel, 'The Hot Takes Show' celebrates the thing we all love to hate and hate to love: hot takes. On each episode, two panelists enter; however, only one of them can ultimately secure the bag.

'The Hot Takes Show' is brought to you by Powder Blue Media and was created, shot, and edited at Northwestern University in Evanston, IL. To learn more about Powder Blue, log on at unplugwithus.com and follow us on Twitter @unplugg_d.

Music:

""The Hot Takes Show Theme""
Artist: SamIam The MC
IG/Twitter: @samiamthemc 
Studio: Dj Pompey (No Coast Raps)
IG: @pompey.nocoast  

""Rock Angel"" by Joakim Karud https://soundcloud.com/joakimkarud
Creative Commons — Attribution-ShareAlike 3.0 Unported— CC BY-SA 3.0 
http://creativecommons.org/licenses/b...
Music promoted by Audio Library https://youtu.be/K8eRXvLL7Wo",2019-05-09T00:58:12Z,19,553,3,00:13:05,785,https://i.ytimg.com/vi/hkL3-uFwQ6c/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Pulse: Is A Hot Dog A Sandwhich?,qwTc9e_dA0I,"Andrew Fenichel travels downtown to ask the people of Chicago where they stand on this heated discussion. Watch Episode Two of 'The Hot Takes Show' when it releases this Wednesday, May 8!

Music: Rock Angel by Joakim Karud https://soundcloud.com/joakimkarud
Creative Commons — Attribution-ShareAlike 3.0 Unported— CC BY-SA 3.0 
http://creativecommons.org/licenses/b...
Music promoted by Audio Library https://youtu.be/K8eRXvLL7Wo",2019-05-06T18:11:18Z,5,88,0,00:02:45,165,https://i.ytimg.com/vi/qwTc9e_dA0I/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Avengers Week Day 4: Breaking Down 'Endgame' With Nate and Jake,ZpRhX6UqIgE,The endgame is officially upon on! The G-L Bros. break down the 22nd film in the MCU in all of its glory as audiences flock to the theaters on opening night.,2019-04-25T18:49:09Z,0,41,0,00:19:22,1162,https://i.ytimg.com/vi/ZpRhX6UqIgE/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Avengers Week Day Four: Breaking Down Endgame With Nate and Jake,fKroOA2ec-U,The G-L Bros. break down Avengers: Endgame in all of its glory one day before its worldwide release.,2019-04-23T17:35:53Z,0,0,0,00:18:51,1131,https://i9.ytimg.com/vi/fKroOA2ec-U/hqdefault.jpg?sqp=CLSU0JAG&rs=AOn4CLCGZlCQhv3u0SqFN-9AvhGP8wNnOQ
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,samiam freestyle,ei9K0O3Vfw8,,2019-03-22T08:06:31Z,0,19,0,00:01:06,66,https://i.ytimg.com/vi/ei9K0O3Vfw8/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Hot Takes Show Returns!,3-cYgVORIFo,"oh babbbbbyyyyyyy!

The hottest hot takes show this side of the Mississippi returns in March. Or April. We haven't really figured that part out yet.

For now, though, enjoy this audacious trailer!",2019-03-19T19:22:09Z,3,133,1,00:01:04,64,https://i.ytimg.com/vi/3-cYgVORIFo/hqdefault.jpg
